Code,Department,Procedure,Trunk Description,Branch Description,Stem Description,Stem Child Description,Code Description (Leaf)
62192,Surgery,Surgical Procedures on the Nervous System,"Surgical Procedures on the Skull, Meninges, and Brain ",Cerebrospinal Fluid (CSF) Shunt Procedures,,,CRTJ SHUNT SARACH/SDRL-PRTL-PLEURAL OTH
62194,Surgery,Surgical Procedures on the Nervous System,"Surgical Procedures on the Skull, Meninges, and Brain ",Cerebrospinal Fluid (CSF) Shunt Procedures,,,RPLCMT/IRRG SUBARACHNOID/SUBDURAL CATHETER
62200,Surgery,Surgical Procedures on the Nervous System,"Surgical Procedures on the Skull, Meninges, and Brain ",Cerebrospinal Fluid (CSF) Shunt Procedures,,,VENTRICULOCISTERNOSTOMY 3RD VENTRICLE
62201,Surgery,Surgical Procedures on the Nervous System,"Surgical Procedures on the Skull, Meninges, and Brain ",Cerebrospinal Fluid (CSF) Shunt Procedures,,,VENTRICULOCISTERNOSTOMY 3RD VNTRC NEURONDSC
62220,Surgery,Surgical Procedures on the Nervous System,"Surgical Procedures on the Skull, Meninges, and Brain ",Cerebrospinal Fluid (CSF) Shunt Procedures,,,CRTJ SHUNT VENTRICULO-ATR-JUG-AUR
62223,Surgery,Surgical Procedures on the Nervous System,"Surgical Procedures on the Skull, Meninges, and Brain ",Cerebrospinal Fluid (CSF) Shunt Procedures,,,CRTJ SHUNT VENTRICULO-PERITNEAL-PLEURAL TERMINUS
62225,Surgery,Surgical Procedures on the Nervous System,"Surgical Procedures on the Skull, Meninges, and Brain ",Cerebrospinal Fluid (CSF) Shunt Procedures,,,RPLCMT/IRRIGATION VENTRICULAR CATHETER
62230,Surgery,Surgical Procedures on the Nervous System,"Surgical Procedures on the Skull, Meninges, and Brain ",Cerebrospinal Fluid (CSF) Shunt Procedures,,,RPLCMT/REVJ CSF SHUNT VALVE/CATH SHUNT SYS
62252,Surgery,Surgical Procedures on the Nervous System,"Surgical Procedures on the Skull, Meninges, and Brain ",Cerebrospinal Fluid (CSF) Shunt Procedures,,,REPRGRMG PROGRAMMABLE CEREBROSPINAL SHUNT
62256,Surgery,Surgical Procedures on the Nervous System,"Surgical Procedures on the Skull, Meninges, and Brain ",Cerebrospinal Fluid (CSF) Shunt Procedures,,,RMVL COMPL CSF SHUNT SYSTEM W/O RPLCMT SHUNT
62258,Surgery,Surgical Procedures on the Nervous System,"Surgical Procedures on the Skull, Meninges, and Brain ",Cerebrospinal Fluid (CSF) Shunt Procedures,,,RMVL COMPLETE CSF SHUNT SYSTEM W/RPLCMT SHUNT
62263,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,PRQ LYSIS EPIDURAL ADHESIONS MULT SESS 2/> DAYS
62264,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,PRQ LYSIS EPIDURAL ADHESIONS MULT SESSIONS 1 DAY
62267,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,PRQ ASPIR PULPOSUS/INTERVERTEBRAL DISC/PVRT TISS
62268,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,PERCUTANEOUS ASPIRATION SPINAL CORD CYST/SYRINX
62269,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,BIOPSY SPINAL CORD PERCUTANEOUS NEEDLE
62270,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,SPINAL PUNCTURE LUMBAR DIAGNOSTIC
62272,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,THERAPEUTIC SPINAL PUNCTURE DRAINAGE CSF
62273,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,INJECTION EPIDURAL BLOOD/CLOT PATCH
62280,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,INJX/INFUSION NEUROLYTIC SUBSTANCE SUBARACHNOID
62281,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,INJX/INFUS NEUROLYT SUBST EPIDURAL CERV/THORACIC
62282,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,INJX/INFUS NEUROLYT SBST EPIDURAL LUMBAR/SACRAL
62284,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,INJECTION PROCEDURE MYELOGRAPHY/CT SPINAL
62287,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,DCMPRN PX PERQ NUCLEUS PULPOSUS 1/MLT LVL LUMBAR
62290,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,INJECTION PX DISCOGRAPHY EACH LEVEL LUMBAR
62291,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,INJECTION PX DISCOGRPHY EA LVL CERVICAL/THORACIC
62292,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,INJECTION PX DISCOGRPHY EA LVL CERVICAL/THORACIC
62294,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,NJX ARTERIAL OCCLUSION ARVEN MALFRMJ SPINAL
62302,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,MYELOGRAPHY VIA LUMBAR INJECTION RS&I CERVICAL
62303,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,MYELOGRAPHY VIA LUMBAR INJECTION RS&I THORACIC
62304,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,MYELOGRAPHY VIA LUMBAR INJECT RS&I LUMBOSACRAL
62305,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,MYELOGRAPHY VIA LUMBAR INJECTION RS&I 2+ REGIONS
62310,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,NJX DX/THER SBST EPIDURAL/SUBRACH CERV/THORACIC
62311,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,NJX DX/THER SBST EPIDURAL/SUBARACH LUMBAR/SACRAL
62318,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,NJXS INFUS/BOLUS DX/SBST EDRL/SUBARACH CRV/THRC
62319,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,NJX INFUS/BOLUS DX/SBST EDRL/SUBARACH LUM/SACRAL
62320,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN
62321,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,NJX DX/THER SBST INTRLMNR CRV/THRC W/IMG GDN
62322,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN
62323,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN
62324,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN
62325,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,NJX DX/THER SBST INTRLMNR CRV/THRC W/IMG GDN
62326,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN
62327,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN
62328,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,DIAGNOSTIC LUMBAR SPINAL PUNCTURE W/FLUOR OR CT
62329,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,"Injection, Drainage, or Aspiration Procedures on the Spine and Spinal Cord ",,,THERAPEUTIC SPINAL PNXR DRAINAGE CSF W/FLUOR/CT
62350,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Catheter Implantation Procedures on the Spine and Spinal Cord,,,IMPLTJ REVJ/RPSG ITHCL/EDRL CATH PMP W/O LAM
62351,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Catheter Implantation Procedures on the Spine and Spinal Cord,,,IMPLTJ REVJ/RPSG ITHCL/EDRL CATH W/LAM
62355,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Catheter Implantation Procedures on the Spine and Spinal Cord,,,RMVL PREVIOUSLY IMPLTED ITHCL/EDRL CATH
62360,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Reservoir/Pump Implantation Procedures on the Spine and Spinal Cord,,,IMPLTJ/RPLCMT ITHCL/EDRL DRUG NFS SUBQ RSVR
62361,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Reservoir/Pump Implantation Procedures on the Spine and Spinal Cord,,,IMPLTJ/RPLCMT FS NON-PRGRBL PUMP
62362,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Reservoir/Pump Implantation Procedures on the Spine and Spinal Cord,,,IMPLTJ/RPLCMT ITHCL/EDRL DRUG NFS PRGRBL PUMP
62365,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Reservoir/Pump Implantation Procedures on the Spine and Spinal Cord,,,RMVL SUBQ RSVR/PUMP INTRATHECAL/EPIDURAL INFUS
62367,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Reservoir/Pump Implantation Procedures on the Spine and Spinal Cord,,,ELECT ANLYS IMPLT ITHCL/EDRL PMP W/O REPRG/REFIL
62368,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Reservoir/Pump Implantation Procedures on the Spine and Spinal Cord,,,ELECT ANALYS IMPLT ITHCL/EDRL PUMP W/REPRGRMG
62369,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Reservoir/Pump Implantation Procedures on the Spine and Spinal Cord,,,ELECT ANLYS IMPLT ITHCL/EDRL PMP W/REPRG&REFIL
62370,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Reservoir/Pump Implantation Procedures on the Spine and Spinal Cord,,,ELEC ANLYS IMPLT ITHCL/EDRL PMP W/REPR PHYS/QHP
62380,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Endoscopic Decompression of Neural Elements and/or Excision of Herniated Intervertebral Discs,,,NDSC DCMPRN SPINAL CORD 1 W/LAMOT NTRSPC LUMBAR
63001,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAM W/O FACETEC FORAMOT/DSKC 1/2 VRT SEG CRV
63003,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMINECTOMY W/O FFD 1/2 VERT SEG THORACIC
63005,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMINECTOMY W/O FFD 1/2 VERT SEG LUMBAR
63011,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMINECTOMY W/O FFD 1/2 VERT SEG SACRAL
63012,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMINECTOMY W/RMVL ABNORMAL FACETS LUMBAR
63015,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMINECTOMY W/O FFD > 2 VERT SEG CERVICAL
63016,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMINECTOMY W/O FFD > 2 VERT SEG THORACIC
63017,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMINECTOMY W/O FFD > 2 VERT SEG LUMBAR
63020,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMNOTMY INCL W/DCMPRSN NRV ROOT 1 INTRSPC CERVC
63030,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMNOTMY INCL W/DCMPRSN NRV ROOT 1 INTRSPC LUMBR
63035,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMNOTMY W/DCMPRSN NRV EACH ADDL CRVCL/LMBR
63040,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMOT PRTL FFD EXC DISC REEXPL 1 NTRSPC CERVICAL
63042,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMOT PRTL FFD EXC DISC REEXPL 1 NTRSPC LUMBAR
63043,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMOT PRTL FFD EXC DISC REEXPL 1 NTRSPC EA CRV
63044,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMOT W/PRTL FFD HRNA8 REEXPL 1 NTRSPC EA LMBR
63045,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAM FACETECTOMY & FORAMOTOMY 1 VRT SGM CERVICAL
63046,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAM FACETECTOMY & FORAMOTOMY 1 VRT SGM THORACIC
63047,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAM FACETECTOMY & FORAMOTOMY 1 VRT SGM LUMBAR
63048,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAM FACETECTOMY&FORAMTOMY 1 SGM EA CRV THRC/LMBR
63050,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMOP CERVICAL W/DCMPRN SPI CORD 2/> VERT SEG
63051,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAMOPLASTY CERVICAL DCMPRN CORD 2/> SEG RCNSTJ
63052,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAM FACETEC/FORAMOT DRG ARTHRD LUMBAR 1 VRT SGM
63053,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Posterior Extradural Laminotomy or Laminectomy for Exploration/ Decompression of Neural Elements or Excision of Herniated Intervertebral Disks Procedures,,,LAM FACETEC/FORAMOT DRG ARTHRD LMBR EA ADDL SGM
63055,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Transpedicular or Costovertebral Approach for Posterolateral Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,TRANSPEDICULAR DCMPRN SPINAL CORD 1 SEG THORACIC
63056,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Transpedicular or Costovertebral Approach for Posterolateral Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,TRANSPEDICULAR DCMPRN SPINAL CORD 1 SEG LUMBAR
63057,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Transpedicular or Costovertebral Approach for Posterolateral Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,TRANSPEDICULAR DCMPRN 1 SEG EA THORACIC/LUMBAR
63064,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Transpedicular or Costovertebral Approach for Posterolateral Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,COSTOVERTEBRAL DCMPRN SPINAL CORD THORACIC 1 SEG
63066,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Transpedicular or Costovertebral Approach for Posterolateral Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,COSTOVERTEBRAL DCMPRN SPINE CORD THORACIC EA SEG
63075,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Anterior or Anterolateral Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,DISCECTOMY ANT DCMPRN CORD CERVICAL 1 NTRSPC
63076,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Anterior or Anterolateral Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,DISCECTOMY ANT DCMPRN CORD CERVICAL EA NTRSPC
63077,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Anterior or Anterolateral Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,DISCECTOMY ANT DCMPRN CORD THORACIC 1 NTRSPC
63078,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Anterior or Anterolateral Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,DISCECTOMY ANT DCMPRN CORD THORACIC EA NTRSPC
63081,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Anterior or Anterolateral Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,VERTEBRAL CORPECTOMY ANT DCMPRN CERVICAL 1 SEG
63082,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Anterior or Anterolateral Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,VERTEBRAL CORPECTOMY DCMPRN CERVICAL EA SEG
63085,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Anterior or Anterolateral Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,VERTEBRAL CORPECTOMY DCMPRN CORD THORACIC 1 SEG
63086,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Anterior or Anterolateral Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,VERTEBRAL CORPECTOMY DCMPRN CORD THORACIC EA SEG
63087,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Anterior or Anterolateral Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,VCRPEC THORACOLMBR DCMPRN LWR THRC/LMBR 1 SEG
63088,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Anterior or Anterolateral Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,VCRPEC THORACOLMBR DCMPRN LWR THRC/LMBR EA SEG
63090,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Anterior or Anterolateral Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,VCRPEC TRANSPRTL/RPR DCMPRN THRC LMBR/SAC 1 SEG
63091,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Anterior or Anterolateral Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,VCRPEC TRANSPRTL/RPR DCMPRN THRC LMBR/SAC EA SEG
63101,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Lateral Extracavitary Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,VERTEB CORPECT LAT XTRCAVITARY DCMPRN THRC 1 SEG
63102,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Lateral Extracavitary Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,VERTEB CORPECT LAT XTRCAVITARY DCMPRN LMBR 1 SEG
63103,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Lateral Extracavitary Approach for Extradural Exploration/Decompression Procedures on the Spine and Spinal Cord,,,VCRPEC LAT XTRCAVITARY DCMPRN THRC/LMBR EA SEG
63170,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Incision Procedures on the Spine and Spinal Cord,,,LAM W/MYELOTOMY CERVICAL/THORACIC/THORACOLUMBAR
63172,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Incision Procedures on the Spine and Spinal Cord,,,LAM W/DRG INTRMEDULLARY CYST/SYRINX SUBARACHNOID
63173,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Incision Procedures on the Spine and Spinal Cord,,,LAM W/DRG INTRMEDULRY CYST/SYRINX PRTL/PLEURAL
63180,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Incision Procedures on the Spine and Spinal Cord,,,LAM&SCTJ DENTATE LIG W/WO DURAL GRF CRV 1/2 SEG
63182,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Incision Procedures on the Spine and Spinal Cord,,,LAM&SCTJ DENTATE LIG W/WO DURAL GRF CRV >2 SEG
63185,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Incision Procedures on the Spine and Spinal Cord,,,LAMINECTOMY W/RHIZOTOMY 1/2 SEGMENTS
63190,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Incision Procedures on the Spine and Spinal Cord,,,LAMINECTOMY W/RHIZOTOMY > 2 SEGMENTS
63191,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Incision Procedures on the Spine and Spinal Cord,,,LAMINECTOMY W/SECTION SPINAL ACCESSORY NERVE
63194,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Incision Procedures on the Spine and Spinal Cord,,,LAM CORDOTOMY SCTJ 1 SPINOTHALMIC TRACT CERVICAL
63195,Surgery,Surgical Procedures on the Nervous System,Surgical Procedures on the Spine and Spinal Cord,Incision Procedures on the Spine and Spinal Cord,,,LAM CORDOTOMY SCTJ 1 SPINOTHALMIC TRACT THORACIC
